,0,1,2,3,4,5,6,7
190,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,60,b4:5d:50:ce:2e:8a,0
191,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,47,44,38:17:c3:c8:01:da,1
192,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,60,b4:5d:50:ce:2e:8a,0
193,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,45,42,38:17:c3:c8:01:da,1
194,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,59,b4:5d:50:ce:2e:8a,0
195,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,44,44,38:17:c3:c8:01:da,1
196,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,59,b4:5d:50:ce:2e:8a,0
197,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,45,43,38:17:c3:c8:01:da,1
198,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,47,53,b4:5d:50:ce:2e:8a,0
199,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,47,44,38:17:c3:c8:01:da,1
200,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,52,60,b4:5d:50:ce:2e:8a,0
201,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,46,42,38:17:c3:c8:01:da,1
202,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,47,52,b4:5d:50:ce:2e:8a,0
203,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,46,44,38:17:c3:c8:01:da,1
204,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,59,b4:5d:50:ce:2e:8a,0
205,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,48,43,38:17:c3:c8:01:da,1
206,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,60,b4:5d:50:ce:2e:8a,0
207,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,44,42,38:17:c3:c8:01:da,1
208,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,49,58,b4:5d:50:ce:2e:8a,0
209,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,58,64,38:17:c3:c8:01:da,0
210,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,46,47,38:17:c3:c8:01:da,0
211,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,63,60,38:17:c3:c8:01:da,1
212,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,45,44,38:17:c3:c8:01:da,1
213,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,61,62,38:17:c3:c8:01:da,0
214,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,44,44,38:17:c3:c8:01:da,1
215,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,58,61,38:17:c3:c8:01:da,0
216,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,45,46,38:17:c3:c8:01:da,0
217,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,55,60,b4:5d:50:ce:2e:8a,0
218,14:f6:5a:b3:e7:f1,unknown,38:17:c3:c8:01:da,AC,41,38,38:17:c3:c8:01:da,1
219,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,63,60,38:17:c3:c8:01:da,1
